Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2000:Q4,Next40,34.4,35.8,46.7,42.3,18.3,46,17.3,32.5,44.2,48.1,38.6,24.2
2000:Q4,Bottom50,3.3,7.5,13.9,22.9,1.7,4.2,1.7,5.4,32.6,26.6,52.4,19.5
2001:Q1,Top1,26.6,23.5,12.4,15.2,42.1,8,48.6,31.9,5,5.1,0.7,22.8
2001:Q1,Next9,35.1,32.6,27.3,19.4,36.9,41.5,32.3,30.9,18,20.2,8.2,33.4
2001:Q1,Next40,35.2,36.5,47,42.5,19.3,46.5,17.4,31.9,44.5,48.2,38.7,25.8
2001:Q1,Bottom50,3.2,7.4,13.2,22.9,1.7,4,1.6,5.3,32.5,26.6,52.4,17.9
2001:Q2,Top1,26.6,23.5,12.4,15.4,42.1,7.4,49.1,31.6,5,5.1,0.8,23.1
2001:Q2,Next9,35.3,32.8,27.4,19.3,36.9,41.9,31.7,31.4,17.7,19.9,8,32.9
2001:Q2,Next40,35,36.4,46.8,42.4,19.4,46.8,17.7,31.7,44.7,48.2,38.8,26.2
2001:Q2,Bottom50,3.1,7.4,13.3,22.9,1.6,3.9,1.5,5.3,32.7,26.9,52.4,17.7
2001:Q3,Top1,25.9,22.7,12.4,15.3,40.2,7,49,32.2,4.8,5.1,0.7,18.4
2001:Q3,Next9,35.3,32.7,27.4,19.3,37.4,42.1,31.8,31.4,18.3,20.2,7.9,37.8
2001:Q3,Next40,35.7,37,46.7,42.5,20.7,47.2,17.7,31.2,44.3,48,39,23.8
2001:Q3,Bottom50,3.1,7.6,13.5,22.8,1.7,3.7,1.5,5.2,32.5,26.7,52.3,20.1
2001:Q4,Top1,26,22.9,12.7,15.4,41.3,6.5,49.9,31,5.1,5.1,0.8,25.2
2001:Q4,Next9,35.3,32.6,27.3,19.4,37.1,42.6,30.2,31,16.9,18.9,7.9,31.8
2001:Q4,Next40,35.7,37.1,46.8,42.4,20,47.2,18.6,32.7,45.3,49,39,26.2
2001:Q4,Bottom50,2.9,7.3,13.2,22.8,1.6,3.7,1.4,5.3,32.7,27,52.2,16.7
2002:Q1,Top1,26.1,23,13,15.5,41.7,6.4,50.3,30.9,5.2,5.2,0.9,27.1
2002:Q1,Next9,35.3,32.6,27.3,19.4,37,42.9,29.3,31.4,16.9,19,8,30.9
2002:Q1,Next40,35.7,37.2,46.9,42.4,19.8,47.1,19.1,32.6,45.6,49.3,39,26
2002:Q1,Bottom50,2.9,7.2,12.8,22.7,1.6,3.6,1.3,5.1,32.2,26.5,52.1,16
2002:Q2,Top1,26,22.9,13.2,15.4,41.3,6.3,50.6,31.9,5.4,5.2,0.9,31.1
2002:Q2,Next9,35.5,32.6,27.4,19.3,37,43.1,28.5,32.5,16.8,19,8,27.9
2002:Q2,Next40,35.7,37.3,46.9,42.6,20.2,47.1,19.6,30.7,46,49.5,39.1,26.9
2002:Q2,Bottom50,2.8,7.2,12.6,22.7,1.5,3.4,1.3,5,31.9,26.2,52,14.1
2002:Q3,Top1,25.4,22.2,13.1,15,40.2,6.1,50.9,31.7,5.5,5.3,1,36.2
2002:Q3,Next9,35.5,32.4,27.3,19.6,37.2,43.5,27.8,32.2,16.4,18.7,8.1,24.3
2002:Q3,Next40,36.3,37.9,46.6,42.9,21.1,47.2,20,31.2,46.4,49.9,39.1,27.6
2002:Q3,Bottom50,2.8,7.5,12.9,22.5,1.6,3.2,1.3,4.9,31.7,26.2,51.9,11.8
2002:Q4,Top1,25,21.9,13.2,14.9,40.9,5.8,48.6,31.4,5.6,5.3,1.1,38.3
2002:Q4,Next9,35.5,32.4,27.2,20,37,43.9,27.9,31.6,16.1,18.4,8.1,23.4
2002:Q4,Next40,36.6,38.2,46.6,42.8,20.6,47.1,21.7,32.2,46.7,50.2,39.1,27.6
2002:Q4,Bottom50,2.9,7.5,13,22.4,1.5,3.2,1.8,4.9,31.6,26.1,51.8,10.8
2003:Q1,Top1,25,21.8,13.5,15,41,6,48.3,31.1,5.7,5.3,1.3,38.7
2003:Q1,Next9,35.7,32.5,27.2,19.9,36.9,43.8,28.8,32.2,16,18,8.1,24.2
2003:Q1,Next40,36.6,38.3,46.8,42.8,20.7,47,21.2,31.9,46.9,50.6,38.9,26.4
2003:Q1,Bottom50,2.7,7.4,12.6,22.3,1.4,3.2,1.8,4.8,31.4,26,51.7,10.7
2003:Q2,Top1,25.8,22.5,13.7,15.1,42.6,6.1,49,31.2,5.6,5.3,1.4,28.6
2003:Q2,Next9,35.7,32.5,27.1,20.1,36.5,43.9,27.8,32.6,16.5,17.9,8.2,33.8
2003:Q2,Next40,36.1,37.8,46.9,42.7,19.6,46.8,21.4,31.5,46.6,50.7,38.9,22.1
2003:Q2,Bottom50,2.4,7.2,12.3,22.2,1.3,3.3,1.7,4.7,31.3,26,51.6,15.4
2003:Q3,Top1,26.1,22.7,13.7,14.8,43.4,6.1,50,30.9,5.7,5.3,1.3,32.2
2003:Q3,Next9,35.6,32.4,26.9,20.5,36.2,43.9,26.8,32.8,16.5,18.2,8.2,31.4
2003:Q3,Next40,35.9,37.7,46.9,42.6,19.1,46.7,21.7,31.6,46.8,50.7,39,22.7
2003:Q3,Bottom50,2.5,7.2,12.5,22.1,1.2,3.3,1.6,4.7,31,25.8,51.5,13.8
2003:Q4,Top1,26.5,23.2,13.6,14.7,44.7,6.2,50.6,30.9,6.1,5.3,1.4,41.6
2003:Q4,Next9,35.6,32.4,27.1,20.8,35.8,44,25.9,32.2,16,17.8,8.2,24.2
2003:Q4,Next40,35.4,37.3,46.4,42.5,18.3,46.5,22,32.3,47.1,51,39,24.1
2003:Q4,Bottom50,2.6,7.2,12.9,22,1.2,3.3,1.5,4.6,30.8,25.8,51.4,10
2004:Q1,Top1,27.2,23.9,13.9,14.6,45.5,6.1,50.2,33,6.1,5.4,1.6,40.6
2004:Q1,Next9,35.6,32.4,26.9,20.9,35.6,44.3,26.9,32.4,16,17.7,8.3,25.8
2004:Q1,Next40,34.8,36.8,46.8,42.5,17.8,46.3,21.4,30.4,47.3,51.3,38.8,23.1
